,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
49,2014-03-30,6.333333333333333,0.7555555555555554,29565.54100084305,200387.888,0.26666666666666666,0.5955555555555557,57.0,
50,2014-03-30,6.333333333333333,0.7555555555555554,29565.54100084305,235732.855,0.26666666666666666,0.5955555555555557,57.0,
51,2014-03-30,6.333333333333333,0.7555555555555554,29565.54100084305,247087.16900000002,0.26666666666666666,0.5955555555555557,57.0,
52,2014-03-30,6.333333333333333,0.7555555555555554,29565.54100084305,359380.49600000004,0.26666666666666666,0.5955555555555557,57.0,
53,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,13884.86,0.3684210526315789,0.5484764542936288,57.0,11.03
54,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,153179.495,0.3684210526315789,0.5484764542936288,57.0,11.03
55,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,200713.22400000002,0.3684210526315789,0.5484764542936288,57.0,11.03
56,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,231245.582,0.3684210526315789,0.5484764542936288,57.0,11.03
57,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,232919.794,0.3684210526315789,0.5484764542936288,57.0,11.03
58,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,233532.479,0.3684210526315789,0.5484764542936288,57.0,11.03
59,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,235771.256,0.3684210526315789,0.5484764542936288,57.0,11.03
60,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,247929.549,0.3684210526315789,0.5484764542936288,57.0,11.03
61,2014-03-31,6.368421052631579,0.7590027700831024,33401.83000087738,348668.54000000004,0.3684210526315789,0.5484764542936288,57.0,11.03
62,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,15199.219999999998,0.391304347826087,0.49905482041587923,58.0,11.03
63,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,155688.222,0.391304347826087,0.49905482041587923,58.0,11.03
64,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,201359.159,0.391304347826087,0.49905482041587923,58.0,11.03
65,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,231294.746,0.391304347826087,0.49905482041587923,58.0,11.03
66,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,232919.794,0.391304347826087,0.49905482041587923,58.0,11.03
67,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,235807.80000000002,0.391304347826087,0.49905482041587923,58.0,11.03
68,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,250898.163,0.391304347826087,0.49905482041587923,58.0,11.03
69,2014-04-01,6.391304347826087,0.6729678638941401,42274.39400005341,348696.627,0.391304347826087,0.49905482041587923,58.0,11.03
70,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,16030.873,0.25925925925925924,0.5624142661179697,60.0,
71,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,157960.839,0.25925925925925924,0.5624142661179697,60.0,
72,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,202114.116,0.25925925925925924,0.5624142661179697,60.0,
73,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,231419.234,0.25925925925925924,0.5624142661179697,60.0,
74,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,233882.80200000003,0.25925925925925924,0.5624142661179697,60.0,
