,Unnamed: 0,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
62,62,2014-03-23,6.871794871794871,0.4707429322813936,4037.4080002307887,9841.548,0.3846153846153846,1.364891518737673,73.0,0.0
63,63,2014-03-23,6.871794871794871,0.4707429322813936,4037.4080002307887,20911.896,0.3846153846153846,1.364891518737673,73.0,0.0
64,64,2014-03-23,6.871794871794871,0.4707429322813936,4037.4080002307887,29793.43,0.3846153846153846,1.364891518737673,73.0,0.0
65,65,2014-03-23,6.871794871794871,0.4707429322813936,4037.4080002307887,30114.672,0.3846153846153846,1.364891518737673,73.0,0.0
66,66,2014-03-23,6.871794871794871,0.4707429322813936,4037.4080002307887,30471.699999999997,0.3846153846153846,1.364891518737673,73.0,0.0
67,67,2014-03-24,6.837209302325581,0.4618712817739318,4476.129000425338,1409.688,0.3953488372093023,1.30881557598702,0.0,0.0
68,68,2014-03-24,6.837209302325581,0.4618712817739318,4476.129000425338,10045.229,0.3953488372093023,1.30881557598702,0.0,0.0
69,69,2014-03-24,6.837209302325581,0.4618712817739318,4476.129000425338,29795.447,0.3953488372093023,1.30881557598702,0.0,0.0
70,70,2014-03-24,6.837209302325581,0.4618712817739318,4476.129000425338,30114.672,0.3953488372093023,1.30881557598702,0.0,0.0
71,71,2014-03-24,6.837209302325581,0.4618712817739318,4476.129000425338,30471.699999999997,0.3953488372093023,1.30881557598702,0.0,0.0
72,72,2014-03-25,6.808510638297872,0.4526935264825713,5444.686000347137,1667.6,0.4042553191489361,1.2621095518334091,17.0,0.0
73,73,2014-03-25,6.808510638297872,0.4526935264825713,5444.686000347137,10322.102,0.4042553191489361,1.2621095518334091,17.0,0.0
74,74,2014-03-25,6.808510638297872,0.4526935264825713,5444.686000347137,20911.896,0.4042553191489361,1.2621095518334091,17.0,0.0
75,75,2014-03-25,6.808510638297872,0.4526935264825713,5444.686000347137,30127.71,0.4042553191489361,1.2621095518334091,17.0,0.0
76,76,2014-03-25,6.808510638297872,0.4526935264825713,5444.686000347137,30591.276,0.4042553191489361,1.2621095518334091,17.0,0.0
